ID	X2R	X19R	X26R	X31R	X42R	X51R	X62R	X68R	X71R	X81R	X84R
5157	0	0	0	0	144	0	0	0	99	0	0
69764	0	0	0	0	242	0	0	0	0	0	0
208982	0	0	0	0	242	0	0	0	0	0	0
411082	0	0	0	0	0	230	0	0	0	0	0
343833	0	0	0	0	0	0	226	0	0	0	0
26561	0	0	0	0	0	0	0	0	0	0	224
226406	0	0	0	0	214	0	1	0	0	1	3
265635	0	0	0	0	0	0	0	0	0	211	0
90701	0	0	0	0	211	0	0	0	0	0	0
375527	0	0	0	0	0	208	0	0	0	0	0
366942	0	0	0	0	0	66	20	0	0	0	101
418170	0	0	0	0	0	179	0	0	0	0	0
48322	0	0	164	0	0	0	0	0	0	1	1
17366	0	0	157	0	0	0	0	6	0	0	0
5995	0	0	0	0	0	0	160	0	0	0	0
385350	0	0	0	0	0	0	0	10	0	149	0
46871	0	0	0	0	0	147	0	0	0	0	0
415065	0	0	0	0	0	0	0	144	0	0	0
343834	0	0	0	0	0	0	100	1	34	0	0
232731	0	0	0	0	0	0	0	0	0	0	130
108697	0	0	127	0	0	0	0	0	0	0	0
437364	0	0	0	0	0	0	0	126	0	0	0
271462	0	0	0	0	125	0	0	0	0	0	0
4767	0	0	0	0	0	121	0	0	0	0	0
140239	0	0	0	0	0	0	0	113	0	0	0
49252	0	0	0	0	0	111	0	0	0	0	0
336156	0	0	0	0	0	111	0	0	0	0	0
203471	0	0	0	0	0	0	111	0	0	0	0
130973	2	1	0	0	0	0	105	0	0	0	0
128558	0	0	0	0	0	0	102	0	3	0	0
293192	0	0	0	0	0	0	0	0	98	0	0
104900	0	0	0	32	39	0	19	0	0	0	1
402279	0	0	91	0	0	0	0	0	0	0	0
43794	0	0	0	0	0	0	0	88	0	0	0
93701	0	0	0	0	1	0	0	0	86	1	0
452064	0	0	0	0	0	0	0	0	85	0	0
53215	0	0	0	0	0	0	0	84	0	0	0
300689	0	0	0	0	0	0	0	83	0	0	0
282103	0	0	0	0	0	0	0	79	0	0	0
416633	0	0	0	0	0	0	0	79	0	0	0
74344	0	0	0	76	0	0	0	0	0	0	0
176959	0	0	2	21	21	0	32	0	0	0	0
66197	0	0	0	0	0	0	0	0	75	0	0
143484	0	0	0	74	0	0	0	0	0	0	0
