cast	year	month	day	depth	temp	season
27	2018	6	22	4.57	16.9	spring
27	2018	6	22	4.88	15.9	spring
27	2018	6	22	5.18	14.8	spring
28	2018	6	26	0	22.3	spring
28	2018	6	26	0.3	22.3	spring
28	2018	6	26	0.61	22.3	spring
28	2018	6	26	0.91	22.3	spring
28	2018	6	26	1.22	22.1	spring
28	2018	6	26	1.52	22.1	spring
28	2018	6	26	1.83	22.1	spring
28	2018	6	26	2.13	22.1	spring
28	2018	6	26	2.44	22.1	spring
28	2018	6	26	2.74	23.2	spring
28	2018	6	26	3.05	22.7	spring
28	2018	6	26	3.35	21.8	spring
28	2018	6	26	3.66	21	spring
28	2018	6	26	3.96	20.1	spring
28	2018	6	26	4.27	19	spring
28	2018	6	26	4.57	17.3	spring
28	2018	6	26	4.88	15.9	spring
29	2018	6	29	0	22.4	spring
29	2018	6	29	0.3	22.4	spring
29	2018	6	29	0.61	22.4	spring
29	2018	6	29	0.91	22.4	spring
29	2018	6	29	1.22	22.3	spring
29	2018	6	29	1.52	22	spring
29	2018	6	29	1.83	21.9	spring
29	2018	6	29	2.13	21.9	spring
29	2018	6	29	2.44	21.9	spring
29	2018	6	29	2.74	22.7	spring
29	2018	6	29	3.05	22.8	spring
29	2018	6	29	3.35	22.2	spring
29	2018	6	29	3.66	21.5	spring
29	2018	6	29	3.96	20.5	spring
29	2018	6	29	4.27	19.4	spring
29	2018	6	29	4.57	18	spring
29	2018	6	29	4.88	16.6	spring
29	2018	6	29	5.18	15.3	spring
30	2018	7	3	0	26.9	summer
30	2018	7	3	0.3	26.9	summer
30	2018	7	3	0.61	26.9	summer
30	2018	7	3	0.91	26.9	summer
30	2018	7	3	1.22	26.8	summer
30	2018	7	3	1.52	26.8	summer
30	2018	7	3	1.83	26.7	summer
30	2018	7	3	2.13	24.2	summer
30	2018	7	3	2.44	23.8	summer
30	2018	7	3	2.74	23.5	summer
30	2018	7	3	3.05	23	summer
30	2018	7	3	3.35	22.5	summer
30	2018	7	3	3.66	21.7	summer
30	2018	7	3	3.96	20.7	summer
30	2018	7	3	4.27	19.6	summer
30	2018	7	3	4.57	18	summer
30	2018	7	3	4.88	16.2	summer
30	2018	7	3	5.18	15	summer
31	2018	7	5	0	27.8	summer
31	2018	7	5	0.3	27.8	summer
31	2018	7	5	0.61	27.8	summer
31	2018	7	5	0.91	27.8	summer
31	2018	7	5	1.22	27.8	summer
31	2018	7	5	1.52	27.8	summer
31	2018	7	5	1.83	27.4	summer
31	2018	7	5	2.13	25.5	summer
31	2018	7	5	2.44	24.4	summer
31	2018	7	5	2.74	23.9	summer
31	2018	7	5	3.05	23.5	summer
31	2018	7	5	3.35	22.7	summer
31	2018	7	5	3.66	21.6	summer
31	2018	7	5	3.96	20.9	summer
31	2018	7	5	4.27	19.6	summer
31	2018	7	5	4.57	17.5	summer
31	2018	7	5	4.88	16	summer
31	2018	7	5	5.18	15.5	summer
32	2018	7	9	0	25	summer
32	2018	7	9	0.3	25	summer
32	2018	7	9	0.61	25	summer
32	2018	7	9	0.91	25	summer
32	2018	7	9	1.22	25	summer
32	2018	7	9	1.52	25	summer
32	2018	7	9	1.83	25	summer
32	2018	7	9	2.13	25	summer
32	2018	7	9	2.44	25	summer
32	2018	7	9	2.74	24.8	summer
32	2018	7	9	3.05	24.1	summer
32	2018	7	9	3.35	23.1	summer
32	2018	7	9	3.66	22.2	summer
32	2018	7	9	3.96	21.1	summer
32	2018	7	9	4.27	19.5	summer
33	2018	7	12	0	24.5	summer
33	2018	7	12	0.3	24.4	summer
33	2018	7	12	0.61	24.4	summer
33	2018	7	12	0.91	24.4	summer
33	2018	7	12	1.22	24.3	summer
33	2018	7	12	1.52	24	summer
33	2018	7	12	1.83	24.2	summer
33	2018	7	12	2.13	24.2	summer
33	2018	7	12	2.44	24.9	summer
33	2018	7	12	2.74	24.9	summer
33	2018	7	12	3.05	24.3	summer
33	2018	7	12	3.35	23.5	summer
33	2018	7	12	3.66	22.5	summer
33	2018	7	12	3.96	21.6	summer
33	2018	7	12	4.27	20.4	summer
33	2018	7	12	4.57	18.4	summer
33	2018	7	12	4.88	16.7	summer
34	2018	7	16	0	26.2	summer
34	2018	7	16	0.3	26.2	summer
34	2018	7	16	0.61	26.3	summer
34	2018	7	16	0.91	26.2	summer
34	2018	7	16	1.22	26	summer
34	2018	7	16	1.52	25.7	summer
34	2018	7	16	1.83	26.3	summer
34	2018	7	16	2.13	26.3	summer
34	2018	7	16	2.44	25.9	summer
34	2018	7	16	2.74	25.1	summer
34	2018	7	16	3.05	24.5	summer
34	2018	7	16	3.35	24.2	summer
34	2018	7	16	3.66	23.1	summer
34	2018	7	16	3.96	22.4	summer
34	2018	7	16	4.27	21.2	summer
34	2018	7	16	4.57	19	summer
34	2018	7	16	4.88	16.9	summer
35	2018	7	19	0	25.8	summer
35	2018	7	19	0.3	25.8	summer
35	2018	7	19	0.61	25.8	summer
35	2018	7	19	0.91	25.8	summer
35	2018	7	19	1.22	25.8	summer
35	2018	7	19	1.52	26.9	summer
35	2018	7	19	1.83	27.4	summer
35	2018	7	19	2.13	27.5	summer
35	2018	7	19	2.44	26.6	summer
35	2018	7	19	2.74	25.7	summer
35	2018	7	19	3.05	25.2	summer
35	2018	7	19	3.35	24.3	summer
35	2018	7	19	3.66	23.7	summer
35	2018	7	19	3.96	22.9	summer
35	2018	7	19	4.27	21.1	summer
35	2018	7	19	4.57	18.9	summer
35	2018	7	19	4.88	17.2	summer
35	2018	7	19	5.18	15.9	summer
36	2018	7	24	0	26.2	summer
36	2018	7	24	0.3	26.2	summer
36	2018	7	24	0.61	26.2	summer
36	2018	7	24	0.91	26.1	summer
36	2018	7	24	1.22	26.1	summer
36	2018	7	24	1.52	26.1	summer
36	2018	7	24	1.83	26	summer
36	2018	7	24	2.13	26.8	summer
36	2018	7	24	2.44	27.5	summer
36	2018	7	24	2.74	26.9	summer
36	2018	7	24	3.05	26	summer
36	2018	7	24	3.35	25	summer
36	2018	7	24	3.66	24.3	summer
36	2018	7	24	3.96	23.2	summer
36	2018	7	24	4.27	21.9	summer
36	2018	7	24	4.57	19.4	summer
36	2018	7	24	4.88	17.6	summer
37	2018	7	27	0	25.5	summer
37	2018	7	27	0.3	25.6	summer
37	2018	7	27	0.61	26	summer
37	2018	7	27	0.91	26	summer
37	2018	7	27	1.22	26	summer
37	2018	7	27	1.52	26	summer
37	2018	7	27	1.83	26	summer
37	2018	7	27	2.13	26.8	summer
37	2018	7	27	2.44	27.4	summer
37	2018	7	27	2.74	27.4	summer
37	2018	7	27	3.05	26.7	summer
37	2018	7	27	3.35	25.5	summer
37	2018	7	27	3.66	24.6	summer
37	2018	7	27	3.96	23	summer
37	2018	7	27	4.27	21.7	summer
37	2018	7	27	4.57	19.6	summer
37	2018	7	27	4.88	17.7	summer
37	2018	7	27	5.18	16.4	summer
38	2018	7	30	0	27.1	summer
38	2018	7	30	0.3	27.1	summer
38	2018	7	30	0.61	26.9	summer
38	2018	7	30	0.91	26.8	summer
38	2018	7	30	1.22	26.4	summer
38	2018	7	30	1.52	26.5	summer
38	2018	7	30	1.83	26.5	summer
38	2018	7	30	2.13	27.2	summer
38	2018	7	30	2.44	27.6	summer
38	2018	7	30	2.74	27.5	summer
38	2018	7	30	3.05	27	summer
38	2018	7	30	3.35	26	summer
38	2018	7	30	3.66	25.1	summer
38	2018	7	30	3.96	23.6	summer
38	2018	7	30	4.27	22.1	summer
38	2018	7	30	4.57	19.9	summer
38	2018	7	30	4.88	18.3	summer
39	2018	8	6	0	28.1	summer
39	2018	8	6	0.3	28	summer
39	2018	8	6	0.61	28	summer
39	2018	8	6	0.91	28.1	summer
39	2018	8	6	1.22	28.1	summer
39	2018	8	6	1.52	28.1	summer
39	2018	8	6	1.83	28	summer
39	2018	8	6	2.13	27.9	summer
39	2018	8	6	2.44	27.5	summer
39	2018	8	6	2.74	27.8	summer
39	2018	8	6	3.05	27.4	summer
39	2018	8	6	3.35	26.6	summer
39	2018	8	6	3.66	25.6	summer
39	2018	8	6	3.96	24.6	summer
39	2018	8	6	4.27	22.6	summer
39	2018	8	6	4.57	20.3	summer
39	2018	8	6	4.88	18.4	summer
39	2018	8	6	5.18	17	summer
40	2018	8	9	0	29.2	summer
40	2018	8	9	0.3	29.2	summer
40	2018	8	9	0.61	29.2	summer
40	2018	8	9	0.91	29.2	summer
40	2018	8	9	1.22	29.2	summer
40	2018	8	9	1.52	29.2	summer
40	2018	8	9	1.83	29.2	summer
40	2018	8	9	2.13	28.6	summer
40	2018	8	9	2.44	28.3	summer
40	2018	8	9	2.74	27.8	summer
40	2018	8	9	3.05	27.5	summer
40	2018	8	9	3.35	26.8	summer
40	2018	8	9	3.66	25.9	summer
40	2018	8	9	3.96	24.6	summer
40	2018	8	9	4.27	22.7	summer
40	2018	8	9	4.57	20.6	summer
40	2018	8	9	4.88	18.6	summer
40	2018	8	9	5.18	16.9	summer
41	2018	8	13	0	26.1	summer
41	2018	8	13	0.3	26.2	summer
41	2018	8	13	0.61	26.2	summer
41	2018	8	13	0.91	26.7	summer
41	2018	8	13	1.22	27.5	summer
41	2018	8	13	1.52	27.8	summer
41	2018	8	13	1.83	28.3	summer
41	2018	8	13	2.13	28	summer
41	2018	8	13	2.44	27.5	summer
41	2018	8	13	2.74	27.2	summer
41	2018	8	13	3.05	26.9	summer
41	2018	8	13	3.35	26.2	summer
41	2018	8	13	3.66	25.8	summer
41	2018	8	13	3.96	24.7	summer
41	2018	8	13	4.27	23.3	summer
41	2018	8	13	4.57	21	summer
