	X071017.C1D2	X071017.C2D1	X071017.C2D3	X071817.C1D2	X071817.C2D1	X072617.C1D1	X072617.C1D2	X072617.C1D3	X072617.C2D1	X072617.C2D2	X080317.C1D1	X080317.C1D2	X080317.C1D3	X080317.C2D1	X081817.C1D1	X081817.C1D2	X081817.C1D3	X081817.C2D1	X082417.C1D1	X082417.C1D2	X082417.C1D3	X082417.C2D1	X083017.C1D1	X083017.C1D2	X083017.C1D3	X083017.C2D1
Eukaryota; Alveolata; Ciliophora; Spirotrichea; Strombidiida; Strombidiidae; Strombidiidae_X; Strombidiidae_X_sp.	0.006725131	0	0	0.009087155	0	0	0.009328815	0	0.006928472	0.003372629	0	0.010915769	0.006082953	0.017418986	0	0.008464855	0.003902144	0.00722049	0.009497643	0	0.00633653	0.006860266	0.006120158	0.005740305	0.00313901	0.00648843
Eukaryota; Alveolata; Ciliophora; Spirotrichea; Strombidiida; Strombidiidae; Strombidium; Strombidium_sp.	0.040350783	0.050863791	0.009700588	0.024042352	0.005267026	0.050889613	0.080249502	0.012082221	0.100778062	0.088912109	0.027911754	0.070319921	0.027653473	0.077574811	0.049438379	0	0	0	0	0	0.016764883	0.005313939	0.06759936	0.037859911	0.054999893	0.120953107
Eukaryota; Alveolata; Ciliophora; Spirotrichea; Tintinnida; Eutintinnidae; Eutintinnus; Eutintinnus_sp.	0.017793023	0	0.006859352	0.014839262	0.009122756	0	0	0	0	0	0	0	0.012165906	0	0	0	0	0	0.02586546	0.00899624	0	0	0.055841206	0.02296122	0.037537096	0.037624503
Eukaryota; Alveolata; Ciliophora; Spirotrichea; Tintinnida; TIN_02; Tintinnopsis_02; Tintinnopsis_platensis	0	0	0	0.02316779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota; Alveolata; Ciliophora; Spirotrichea; Tintinnida; TIN_09; Tintinnopsis_09; Tintinnopsis_ventricosoides	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005028428	0.003318087	0	0	0	0	0	0	0	0.00967682	0.005740305	0.00443923	0.008271158
Eukaryota; Alveolata; Ciliophora; Spirotrichea; Tintinnida; Tintinnida_X; Tintinnida_XX; Tintinnida_XX_sp.	0.023776927	0.020457408	0	0	0	0.053799902	0.051338763	0.041415768	0.023857642	0.052139572	0.011725282	0.033199014	0.040196616	0.047968147	0	0	0.005518465	0	0.011304456	0.039213703	0.005667565	0.014713632	0.208197861	0.159235272	0.206245118	0.214019858
Eukaryota; Alveolata; Ciliophora; Spirotrichea; Tintinnida; Tintinnidiidae; Tintinnidium; Tintinnidium_sp.	0	0	0	0	0	0.012342544	0.052298449	0.015983277	0.042468444	0.050364084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Dinophyceae_X; Dinophyceae_XX; Dinophyceae_XXX; Dinophyceae_XXX_sp.	0.081399086	0.060435189	0.076587561	0.062077086	0.051606102	0.062732834	0.060148384	0.04889196	0.065989576	0.05976313	0.106392534	0.061748913	0.070064073	0.197905542	0.096794909	0.087356319	0.061327003	0.084266546	0.056919862	0.113080988	0.064930111	0.048703059	0.131334095	0.090307239	0.082514767	0.097946284
Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Dinophyceae_X; Tovelliaceae; Woloszynskia; Woloszynskia_sp.	0.010633365	0.008723068	0.007920497	0	0.007448699	0.005038823	0.006107143	0	0.008281108	0.005841564	0	0	0	0.005028428	0	0	0	0	0.002741733	0.006361303	0.002833782	0	0.003060079	0.004059009	0.005436924	0.00606937
Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Dinophysiales; Dinophysiaceae; Dinophysis; Dinophysis_acuminata	0.108855747	0.010683533	0.051786969	0.029445747	0.033311595	0.045905858	0.038945509	0.027683847	0.043188978	0.029594695	0.037078598	0.029391607	0.032187962	0.044124278	0.025051005	0.025394565	0.020648204	0.021661469	0.017122119	0.035418234	0.021766695	0.01188233	0.027198579	0.029269927	0.030108323	0.037202532
Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Gonyaulacales; Goniodomataceae; Alexandrium; Alexandrium_hiranoi	0.004755385	0	0	0.024042352	0.005267026	0.010077645	0.009972923	0.010463511	0.010142245	0.008923136	0.044904412	0.031353159	0.027875593	0.047170837	0.003318087	0.023942225	0.033793556	0	0	0.012722605	0.01900959	0.004338813	0	0.008118017	0	0.003973336
Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Gonyaulacales; Goniodomataceae; Alexandrium; Alexandrium_ostenfeldii	0	0	0	0	0	0	0	0	0.005237433	0	0	0.005457884	0	0.007111271	0	0.005985556	0.006758711	0.003229101	0.002741733	0.006361303	0.00633653	0	0	0.005740305	0	0.005129554
