	bio_1	bio_2	bio_3	bio_4	bio_5	bio_6	bio_7	bio_8	bio_9	bio_10	bio_11
23	0.053608271	0.206223176	0.019866842	0.559874072	0.321246739	0.09883629	0.039888591	0.082213686	23	26.5	0.1
24	0.026607941	0.121100586	0.068394017	0.414776745	0.072521022	0.167756682	0.055767966	0	27.2	22.5	8.6
25	0.04679412	0.273350606	0.034173594	0.217071501	0.015486225	0.121553247	0.064501243	0	27.1	21.3	7.1
26	0	0.221237592	0.025784686	0.257301537	0.042069134	0.128341051	0.099722907	0.003060079	22.6	22	5.1
27	0	0.310162438	0.030912488	0.278626619	0.106621432	0.07636979	0.066942884	0	26.3	24.6	0.4
28	0	0.379469788	0.022635721	0.274120208	0.097713494	0.132099731	0.088283775	0	22.7	25.8	0
29	0.041419364	0.25584086	0.049520793	0.384045726	0.114860789	0.165264018	0.097082829	0	22.6	22	2.8
30	0	0.629635295	0.004755385	0.201473507	0.037443942	0.087037844	0.148029274	0.021791914	25.5	24.9	4.3
31	0.110511325	0.581377936	0	0.214115346	0.042286642	0.088314335	0.122122955	0.053772604	25.3	14.6	5.4
32	0.003960249	0.333461391	0	0.157366942	0.033133816	0.048502941	0.07920497	0.584965036	22.5	26.1	0.5
33	0.010492943	0.101529726	0.043263511	0.536398774	0.039435879	0.191693741	0.182913088	0.011731466	26.4	24.8	3.8
34	0.005267026	0.179156313	0.028848688	0.403469295	0.057456467	0.09524437	0.248445105	0.223088229	26.7	19.7	6.3
35	0	0.14054612	0.050388225	0.625930476	0.071259711	0.162731346	0.151500225	0	26.5	22.8	5.7
36	0	0.170453853	0.063271103	0.600739272	0.056744967	0.151493261	0.155941566	0	26.4	25.2	0.5
37	0	0.176799274	0.048517303	0.409906166	0.097222476	0.066589374	0.073369034	0.063933106	24	25.9	0.1
38	0	0.16297171	0.05634806	0.678914548	0.03839792	0.168577011	0.188638489	0.007406849	26.5	22.8	5.7
39	0	0.144354805	0.051259516	0.69044222	0.095033946	0.124284908	0.144118222	0	26.4	25.2	0.5
40	0.022452206	0.05110932	0.077481554	0.533339253	0.100637262	0.173650334	0.030274548	0.006769595	27.2	22.5	8.6
41	0.073428324	0.272511898	0.047892741	0.372017982	0.153307299	0.115392635	0.036203509	0.057760819	26.9	25.2	0.3
42	0.053608271	0.206223176	0.019866842	0.559874072	0.321246739	0.09883629	0.039888591	0.082213686	23	26.5	0.1
43	0.026607941	0.121100586	0.068394017	0.414776745	0.072521022	0.167756682	0.055767966	0	27.2	22.5	8.6
44	0.051510558	0.389772811	0.040092594	0.297981924	0.025486708	0.132557461	0.067594566	0	27.1	21.3	7.1
45	0.087969353	0.541188304	0.053536443	0.425395808	0.077118499	0.165876603	0.056149495	0	26.8	25.4	0.1
46	0	0.230919887	0.019897107	0.249615229	0.109538395	0.120903502	0.025288782	0	23.2	26.3	0
47	0.04679412	0.273350606	0.034173594	0.217071501	0.015486225	0.121553247	0.064501243	0	27.1	21.3	7.1
48	0.033579238	0.668184646	0.020333238	0.217635604	0.103860678	0.087176772	0.036165946	0	25.3	17.8	2.8
49	0.063613026	0.491428636	0.022936003	0.217868809	0.089737216	0.137321649	0.076070115	0	25.7	25.5	0.1
50	0.033168572	0.452412268	0.010217348	0.190180368	0.082909324	0.084206738	0.045251876	0	23.2	26.2	0
51	0.003068004	0.653405698	0.006136009	0.211981117	0.13809428	0.041616436	0.018661942	0	25.3	17.8	2.8
52	0	0.221237592	0.025784686	0.257301537	0.042069134	0.128341051	0.099722907	0.003060079	22.6	22	5.1
53	0	0.310162438	0.030912488	0.278626619	0.106621432	0.07636979	0.066942884	0	26.3	24.6	0.4
54	0	0.379469788	0.022635721	0.274120208	0.097713494	0.132099731	0.088283775	0	22.7	25.8	0
55	0.041419364	0.25584086	0.049520793	0.384045726	0.114860789	0.165264018	0.097082829	0	22.6	22	2.8
56	0	0.629635295	0.004755385	0.201473507	0.037443942	0.087037844	0.148029274	0.021791914	25.5	24.9	4.3
57	0.110511325	0.581377936	0	0.214115346	0.042286642	0.088314335	0.122122955	0.053772604	25.3	14.6	5.4
58	0.003960249	0.333461391	0	0.157366942	0.033133816	0.048502941	0.07920497	0.584965036	22.5	26.1	0.5
59	0.010492943	0.101529726	0.043263511	0.536398774	0.039435879	0.191693741	0.182913088	0.011731466	26.4	24.8	3.8
60	0.005267026	0.179156313	0.028848688	0.403469295	0.057456467	0.09524437	0.248445105	0.223088229	26.7	19.7	6.3
61	0	0.14054612	0.050388225	0.625930476	0.071259711	0.162731346	0.151500225	0	26.5	22.8	5.7
62	0	0.170453853	0.063271103	0.600739272	0.056744967	0.151493261	0.155941566	0	26.4	25.2	0.5
63	0	0.176799274	0.048517303	0.409906166	0.097222476	0.066589374	0.073369034	0.063933106	24	25.9	0.1
64	0	0.16297171	0.05634806	0.678914548	0.03839792	0.168577011	0.188638489	0.007406849	26.5	22.8	5.7
65	0	0.144354805	0.051259516	0.69044222	0.095033946	0.124284908	0.144118222	0	26.4	25.2	0.5
66	0.022452206	0.05110932	0.077481554	0.533339253	0.100637262	0.173650334	0.030274548	0.006769595	27.2	22.5	8.6
67	0.073428324	0.272511898	0.047892741	0.372017982	0.153307299	0.115392635	0.036203509	0.057760819	26.9	25.2	0.3
68	0.053608271	0.206223176	0.019866842	0.559874072	0.321246739	0.09883629	0.039888591	0.082213686	23	26.5	0.1
69	0	0.230919887	0.019897107	0.249615229	0.109538395	0.120903502	0.025288782	0	23.2	26.3	0
70	0.033168572	0.452412268	0.010217348	0.190180368	0.082909324	0.084206738	0.045251876	0	23.2	26.2	0
71	0	0.221237592	0.025784686	0.257301537	0.042069134	0.128341051	0.099722907	0.003060079	22.6	22	5.1
72	0.003960249	0.333461391	0	0.157366942	0.033133816	0.048502941	0.07920497	0.584965036	22.5	26.1	0.5
73	0.022452206	0.05110932	0.077481554	0.533339253	0.100637262	0.173650334	0.030274548	0.006769595	27.2	22.5	8.6
74	0.026607941	0.121100586	0.068394017	0.414776745	0.072521022	0.167756682	0.055767966	0	27.2	22.5	8.6
75	0	0.230919887	0.019897107	0.249615229	0.109538395	0.120903502	0.025288782	0	23.2	26.3	0
76	0.04679412	0.273350606	0.034173594	0.217071501	0.015486225	0.121553247	0.064501243	0	27.1	21.3	7.1
77	0.033579238	0.668184646	0.020333238	0.217635604	0.103860678	0.087176772	0.036165946	0	25.3	17.8	2.8
78	0.063613026	0.491428636	0.022936003	0.217868809	0.089737216	0.137321649	0.076070115	0	25.7	25.5	0.1
79	0.033168572	0.452412268	0.010217348	0.190180368	0.082909324	0.084206738	0.045251876	0	23.2	26.2	0
80	0.003068004	0.653405698	0.006136009	0.211981117	0.13809428	0.041616436	0.018661942	0	25.3	17.8	2.8
81	0	0.221237592	0.025784686	0.257301537	0.042069134	0.128341051	0.099722907	0.003060079	22.6	22	5.1
82	0	0.310162438	0.030912488	0.278626619	0.106621432	0.07636979	0.066942884	0	26.3	24.6	0.4
83	0	0.379469788	0.022635721	0.274120208	0.097713494	0.132099731	0.088283775	0	22.7	25.8	0
84	0.041419364	0.25584086	0.049520793	0.384045726	0.114860789	0.165264018	0.097082829	0	22.6	22	2.8
85	0	0.629635295	0.004755385	0.201473507	0.037443942	0.087037844	0.148029274	0.021791914	25.5	24.9	4.3
86	0.110511325	0.581377936	0	0.214115346	0.042286642	0.088314335	0.122122955	0.053772604	25.3	14.6	5.4
87	0.003960249	0.333461391	0	0.157366942	0.033133816	0.048502941	0.07920497	0.584965036	22.5	26.1	0.5
88	0.010492943	0.101529726	0.043263511	0.536398774	0.039435879	0.191693741	0.182913088	0.011731466	26.4	24.8	3.8
89	0	0.14054612	0.050388225	0.625930476	0.071259711	0.162731346	0.151500225	0	26.5	22.8	5.7
90	0	0.170453853	0.063271103	0.600739272	0.056744967	0.151493261	0.155941566	0	26.4	25.2	0.5
91	0	0.176799274	0.048517303	0.409906166	0.097222476	0.066589374	0.073369034	0.063933106	24	25.9	0.1
92	0	0.16297171	0.05634806	0.678914548	0.03839792	0.168577011	0.188638489	0.007406849	26.5	22.8	5.7
93	0	0.144354805	0.051259516	0.69044222	0.095033946	0.124284908	0.144118222	0	26.4	25.2	0.5
94	0.022452206	0.05110932	0.077481554	0.533339253	0.100637262	0.173650334	0.030274548	0.006769595	27.2	22.5	8.6
95	0.073428324	0.272511898	0.047892741	0.372017982	0.153307299	0.115392635	0.036203509	0.057760819	26.9	25.2	0.3
96	0.026607941	0.121100586	0.068394017	0.414776745	0.072521022	0.167756682	0.055767966	0	27.2	22.5	8.6
97	0.051510558	0.389772811	0.040092594	0.297981924	0.025486708	0.132557461	0.067594566	0	27.1	21.3	7.1
98	0.087969353	0.541188304	0.053536443	0.425395808	0.077118499	0.165876603	0.056149495	0	26.8	25.4	0.1
99	0	0.230919887	0.019897107	0.249615229	0.109538395	0.120903502	0.025288782	0	23.2	26.3	0
100	0.04679412	0.273350606	0.034173594	0.217071501	0.015486225	0.121553247	0.064501243	0	27.1	21.3	7.1
101	0.033579238	0.668184646	0.020333238	0.217635604	0.103860678	0.087176772	0.036165946	0	25.3	17.8	2.8
102	0.063613026	0.491428636	0.022936003	0.217868809	0.089737216	0.137321649	0.076070115	0	25.7	25.5	0.1
103	0.033168572	0.452412268	0.010217348	0.190180368	0.082909324	0.084206738	0.045251876	0	23.2	26.2	0
104	0.003068004	0.653405698	0.006136009	0.211981117	0.13809428	0.041616436	0.018661942	0	25.3	17.8	2.8
105	0	0.221237592	0.025784686	0.257301537	0.042069134	0.128341051	0.099722907	0.003060079	22.6	22	5.1
106	0	0.310162438	0.030912488	0.278626619	0.106621432	0.07636979	0.066942884	0	26.3	24.6	0.4
107	0	0.379469788	0.022635721	0.274120208	0.097713494	0.132099731	0.088283775	0	22.7	25.8	0
108	0.041419364	0.25584086	0.049520793	0.384045726	0.114860789	0.165264018	0.097082829	0	22.6	22	2.8
109	0	0.629635295	0.004755385	0.201473507	0.037443942	0.087037844	0.148029274	0.021791914	25.5	24.9	4.3
110	0.110511325	0.581377936	0	0.214115346	0.042286642	0.088314335	0.122122955	0.053772604	25.3	14.6	5.4
111	0.010492943	0.101529726	0.043263511	0.536398774	0.039435879	0.191693741	0.182913088	0.011731466	26.4	24.8	3.8
112	0.005267026	0.179156313	0.028848688	0.403469295	0.057456467	0.09524437	0.248445105	0.223088229	26.7	19.7	6.3
113	0	0.14054612	0.050388225	0.625930476	0.071259711	0.162731346	0.151500225	0	26.5	22.8	5.7
114	0	0.170453853	0.063271103	0.600739272	0.056744967	0.151493261	0.155941566	0	26.4	25.2	0.5
115	0	0.176799274	0.048517303	0.409906166	0.097222476	0.066589374	0.073369034	0.063933106	24	25.9	0.1
116	0	0.16297171	0.05634806	0.678914548	0.03839792	0.168577011	0.188638489	0.007406849	26.5	22.8	5.7
117	0	0.144354805	0.051259516	0.69044222	0.095033946	0.124284908	0.144118222	0	26.4	25.2	0.5
118	0.022452206	0.05110932	0.077481554	0.533339253	0.100637262	0.173650334	0.030274548	0.006769595	27.2	22.5	8.6
119	0.073428324	0.272511898	0.047892741	0.372017982	0.153307299	0.115392635	0.036203509	0.057760819	26.9	25.2	0.3
120	0.053608271	0.206223176	0.019866842	0.559874072	0.321246739	0.09883629	0.039888591	0.082213686	23	26.5	0.1
121	0.026607941	0.121100586	0.068394017	0.414776745	0.072521022	0.167756682	0.055767966	0	27.2	22.5	8.6
122	0.051510558	0.389772811	0.040092594	0.297981924	0.025486708	0.132557461	0.067594566	0	27.1	21.3	7.1
123	0.087969353	0.541188304	0.053536443	0.425395808	0.077118499	0.165876603	0.056149495	0	26.8	25.4	0.1
124	0	0.230919887	0.019897107	0.249615229	0.109538395	0.120903502	0.025288782	0	23.2	26.3	0
125	0.04679412	0.273350606	0.034173594	0.217071501	0.015486225	0.121553247	0.064501243	0	27.1	21.3	7.1
126	0.033579238	0.668184646	0.020333238	0.217635604	0.103860678	0.087176772	0.036165946	0	25.3	17.8	2.8
127	0.063613026	0.491428636	0.022936003	0.217868809	0.089737216	0.137321649	0.076070115	0	25.7	25.5	0.1
128	0.033168572	0.452412268	0.010217348	0.190180368	0.082909324	0.084206738	0.045251876	0	23.2	26.2	0
129	0.003068004	0.653405698	0.006136009	0.211981117	0.13809428	0.041616436	0.018661942	0	25.3	17.8	2.8
130	0	0.221237592	0.025784686	0.257301537	0.042069134	0.128341051	0.099722907	0.003060079	22.6	22	5.1
131	0	0.310162438	0.030912488	0.278626619	0.106621432	0.07636979	0.066942884	0	26.3	24.6	0.4
132	0	0.379469788	0.022635721	0.274120208	0.097713494	0.132099731	0.088283775	0	22.7	25.8	0
133	0.041419364	0.25584086	0.049520793	0.384045726	0.114860789	0.165264018	0.097082829	0	22.6	22	2.8
134	0	0.16297171	0.05634806	0.678914548	0.03839792	0.168577011	0.188638489	0.007406849	26.5	22.8	5.7
135	0.022452206	0.05110932	0.077481554	0.533339253	0.100637262	0.173650334	0.030274548	0.006769595	27.2	22.5	8.6
136	0.073428324	0.272511898	0.047892741	0.372017982	0.153307299	0.115392635	0.036203509	0.057760819	26.9	25.2	0.3
137	0.026607941	0.121100586	0.068394017	0.414776745	0.072521022	0.167756682	0.055767966	0	27.2	22.5	8.6
138	0	0.230919887	0.019897107	0.249615229	0.109538395	0.120903502	0.025288782	0	23.2	26.3	0
139	0.04679412	0.273350606	0.034173594	0.217071501	0.015486225	0.121553247	0.064501243	0	27.1	21.3	7.1
140	0.033579238	0.668184646	0.020333238	0.217635604	0.103860678	0.087176772	0.036165946	0	25.3	17.8	2.8
141	0.063613026	0.491428636	0.022936003	0.217868809	0.089737216	0.137321649	0.076070115	0	25.7	25.5	0.1
142	0.033168572	0.452412268	0.010217348	0.190180368	0.082909324	0.084206738	0.045251876	0	23.2	26.2	0
143	0.003068004	0.653405698	0.006136009	0.211981117	0.13809428	0.041616436	0.018661942	0	25.3	17.8	2.8
144	0	0.221237592	0.025784686	0.257301537	0.042069134	0.128341051	0.099722907	0.003060079	22.6	22	5.1
145	0	0.310162438	0.030912488	0.278626619	0.106621432	0.07636979	0.066942884	0	26.3	24.6	0.4
146	0	0.379469788	0.022635721	0.274120208	0.097713494	0.132099731	0.088283775	0	22.7	25.8	0
147	0.041419364	0.25584086	0.049520793	0.384045726	0.114860789	0.165264018	0.097082829	0	22.6	22	2.8
