"663"	"361"	"30"	"565"	"386"
"Jul_12_rep1"	1.5471268697596	-0.656865206955902	-0.514336268218961	0.21795838421201	2.58036917750738
"Jul_12_rep2"	1.7953864991741	-0.614418871728783	-0.502339208101847	-0.982867789010362	-0.747806843681167
"Jul_16_rep1"	0.934383854988879	-1.77115998101099	-2.04871890502478	-0.708535614074462	9.67089803923306
"Jul_16_rep2"	-0.77865636468103	-0.386548674008658	-0.292541895639079	-0.83338468990928	0.120268214416337
"Jul_19_rep1"	-0.747947644928711	-0.309843726750064	-0.236024835781516	-0.782810085441296	0.366375803326368
"Jul_24_rep1"	-0.815826906539323	-0.377323827726694	-0.366880174552102	-0.825829301909811	-0.115332271094829
"Jul_24_rep2"	1.06662146908484	-0.394399504104176	-0.432233590243906	-0.836129850610197	-0.342609458447836
"Jul_27_rep1"	-0.793957440919679	-0.281752895356642	-0.329009362019783	-0.762224689536454	0.0849240447159551
"Jul_27_rep2"	-0.784159437535425	-0.235629897403444	-0.312234378516268	-0.731501529599034	0.176660414195823
"Jul_30_rep1"	-0.807584572889776	-0.238095782144951	-0.358601971920702	-0.0623100151362674	0.0231303685944378
"Jul_30_rep2"	-0.813518323452038	-0.214980494363371	-0.37172613465019	-0.716530199845654	-0.00127132232271268
"Aug_06_rep1"	0.818107082695917	-0.216643946284692	-0.417050944741814	-0.716826320253102	-0.150750856567675
"Aug_06_rep2"	-0.858808765901553	-0.217631013031831	0.88972761931702	0.578974727407453	-0.296816141344751
"Aug_09_rep1"	0.50111817935236	-0.102345719765227	-0.354843503220989	-0.641065391835201	0.144036883829645
"Aug_09_rep2"	0.246511943705062	-0.102223908214152	-0.397848314789186	-0.640202656787073	0.00356898244319549
"Aug_13_rep1"	0.530552711022953	-0.146391095722366	1.82219843844956	-0.668088926563976	-0.360460429815207
"Aug_13_rep2"	0.404159489685877	-0.105465285155307	2.70336831641481	-0.640739380129104	-0.294958364316216
"Aug_16_rep1"	-0.882658952262527	-0.093544913283898	3.38445553106564	-0.632217929039017	-0.375869625738945
"Aug_16_rep2"	-0.843450192690881	-0.00440864696989769	3.34361192304751	-0.573573870325139	-0.0670113644455223
"Aug_20_rep1"	-0.872279732255821	-0.0147784797486194	4.17910361862725	-0.579521502182257	-0.260438869971153
"Aug_20_rep2"	-0.872508130134743	0.0166808935946482	3.55308956043652	0.378284698653402	-0.242721379722827
"Aug_23_rep1"	0.488684313554274	0.0498483034611421	4.12751883934096	-0.536003446570428	-0.216382081940635
"Aug_23_rep2"	0.463296397559557	0.0294147679256101	2.1065196132827	-0.548483658645173	-0.460609032950841
"Aug_29_rep1"	-0.850373365330323	0.144433231892052	-0.465778621812956	-0.473038871962791	-0.0211029057139934
"Aug_29_rep2"	-0.865864589090211	0.153570702956465	-0.49706733820412	-0.466323865597742	-0.116061662502011
"Aug_31_rep1"	-0.855579680586889	0.200405800266079	-0.479366962185182	-0.435138465639814	-0.0207307659072315
"Aug_31_rep2"	-0.813940918012241	0.293095949065103	-0.402076697395175	-0.374187500315273	0.306066743386573
"Sep_04_rep1"	-0.89350598975223	0.208525335899474	-0.555141622401166	-0.428300560126827	-0.261910626067308
"Sep_04_rep2"	0.611796130916752	0.199466999331939	3.22786075541505	-0.433396869720984	-0.448717975782165
"Sep_07_rep1"	-0.0236812595076355	0.273742388440718	-0.55671650372412	-0.384399347157205	-0.21487428315024
"Sep_07_rep2"	0.402811173311074	0.262454906532113	-0.614548002999248	-0.390942646105995	-0.412933887623338
"Sep_12_rep1"	0.456011887517556	0.318150731502231	-0.585332869967286	-0.354005544649368	-0.272875909692725
"Sep_12_rep2"	-0.878273748902652	0.389769535190584	-0.535425392255639	-0.306732472596826	-0.0524420990397494
"Sep_14_rep1"	-0.850217899650778	0.462594655965457	-0.483950272622903	-0.258676352462874	0.17408094542256
