"cluster"	"neighbor"	"dist"	"otu_id"	"taxonomy"	"Level1"	"Level2"	"Level3"	"Level4"	"Level5"	"Level6"	"Level7"
"47"	1	4	0.0784532488468777	"429"	"Eukaryota;Opisthokonta;Mesomycetozoa;Ichthyosporea;Ichthyosphonida;Abeoformidae_Group_MAIP_1;Abeoformidae_Group_MAIP_1_X"	"Eukaryota"	"Opisthokonta"	"Mesomycetozoa"	"Ichthyosporea"	"Ichthyosphonida"	"Abeoformidae_Group_MAIP_1"	"Abeoformidae_Group_MAIP_1_X"
"48"	1	3	0.0775379797600457	"645"	"Eukaryota;Stramenopiles;Ochrophyta;Chrysophyceae;Chrysophyceae_X;Chrysophyceae_Clade-F;Paraphysomonas"	"Eukaryota"	"Stramenopiles"	"Ochrophyta"	"Chrysophyceae"	"Chrysophyceae_X"	"Chrysophyceae_Clade-F"	"Paraphysomonas"
"49"	1	2	0.0774325458207933	"522"	"Eukaryota;Rhizaria;Cercozoa;Endomyxa;Vampyrellida;Vampyrellida_X;Thalassomyxa"	"Eukaryota"	"Rhizaria"	"Cercozoa"	"Endomyxa"	"Vampyrellida"	"Vampyrellida_X"	"Thalassomyxa"
"50"	1	5	0.0772543850644061	"270"	"Eukaryota;Archaeplastida;Chlorophyta;Prasino-Clade-V;Pseudoscourfieldiales;Pycnococcaceae;Pycnococcaceae-clade1"	"Eukaryota"	"Archaeplastida"	"Chlorophyta"	"Prasino-Clade-V"	"Pseudoscourfieldiales"	"Pycnococcaceae"	"Pycnococcaceae-clade1"
"51"	1	5	0.0753704615794429	"369"	"Eukaryota;Opisthokonta;Choanoflagellida;Choanoflagellatea;Acanthoecida;__;__"	"Eukaryota"	"Opisthokonta"	"Choanoflagellida"	"Choanoflagellatea"	"Acanthoecida"	"__"	"__"
"52"	1	5	0.0737548052893824	"123"	"Eukaryota;Alveolata;Ciliophora;Spirotrichea;Strombidiida;Strombidiidae;__"	"Eukaryota"	"Alveolata"	"Ciliophora"	"Spirotrichea"	"Strombidiida"	"Strombidiidae"	"__"
"53"	1	5	0.0736223489904815	"324"	"Eukaryota;Hacrobia;Cryptophyta;Cryptophyceae;Cryptophyceae_X;Basal_Cryptophyceae-2;Basal_Cryptophyceae-2_X"	"Eukaryota"	"Hacrobia"	"Cryptophyta"	"Cryptophyceae"	"Cryptophyceae_X"	"Basal_Cryptophyceae-2"	"Basal_Cryptophyceae-2_X"
"54"	1	5	0.0731177200247494	"715"	"Eukaryota;Stramenopiles;Stramenopiles_X;MAST;MAST-12;MAST-12D;MAST-12D_X"	"Eukaryota"	"Stramenopiles"	"Stramenopiles"	"MAST"	"MAST-12"	"MAST-12D"	"MAST-12D_X"
"55"	1	4	0.0718492945133717	"444"	"Eukaryota;Opisthokonta;Metazoa;Annelida;Annelida_X;Annelida_XX;Pectinaria"	"Eukaryota"	"Opisthokonta"	"Metazoa"	"Annelida"	"Annelida_X"	"Annelida_XX"	"Pectinaria"
"56"	1	4	0.0685243237412485	"583"	"Eukaryota;Stramenopiles;Ochrophyta;__;__;__;__"	"Eukaryota"	"Stramenopiles"	"Ochrophyta"	"__"	"__"	"__"	"__"
"57"	1	4	0.0679289906370357	"644"	"Eukaryota;Stramenopiles;Ochrophyta;Chrysophyceae;Chrysophyceae_X;Chrysophyceae_Clade-F;Chrysophyceae_Clade-F_X"	"Eukaryota"	"Stramenopiles"	"Ochrophyta"	"Chrysophyceae"	"Chrysophyceae_X"	"Chrysophyceae_Clade-F"	"Chrysophyceae_Clade-F_X"
"58"	1	4	0.0679164093669478	"189"	"Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Suessiales;Suessiaceae;Pelagodinium"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Dinophyceae"	"Suessiales"	"Suessiaceae"	"Pelagodinium"
