	bio_1	bio_2	bio_3	bio_4	bio_5	bio_6	bio_7	bio_8
145	21.8	16.8	34	0.10839159	5.75379553	0.2120795	2.4233697	2.512
146	23	15.8	35	0.103145444	3.432459875	0.081593557	0.369492772	2.636
147	24.5	15.4	34		388.553.437	0.1362162	1.380.458.067	2.506
148	19.5	15.6	34		368.516.943		0.39649923	1.56
149	23.4	15.8		0.64088392	314.520.666	0.08225597	0.20502392	0.859
150	24	13.6	34		929.448.892	0.35865647	479.394.157	0.767
151	16.5	15	37	0.45541467	747.316.924		340.940.811	0.687
152	12.8	14.8	35		560.788.915	0.22233358	194.980.151	1.902
153	13.3	14.2	34		335.568.200			2.096
154								
155	15	15	34	0.59246255	473.112.511	0.29340584	335.872.437	3.596
156	12	14.8	34	0.34422829	425.226.139	0.06827934	107.608.610	3.427
157	16	14.9	35	0.56071625	460.514.160		0.77871442	2.764
158	15	15	34	0.21646576	747.205.437	0.37307113	403.130.774	1.998
159	15.7	15	34	0.26956796	568.920.077		0.62883643	2.221
160								
161	13	14.3	34	101.936.349	1.096.390.997	0.56482964	2.238.246.012	0.855
162	13.5	14.2	34	0.50139971	802.320.554	0.32011347	643.173.978	0.605
163	15	14	34	0.72139918	682.555.397	0.32735032	224.926.414	0.872
164								
165	11.7	13	34	0.27584549	1.026.670.677	0.46426078	400.626.666	1.505
166	12.8	13.1	34	0.61959417	925.552.032	0.42029521	342.771.250	1.673
167	10	11.8	35	113.919.458	1.403.286.008	0.67735015	653.670.004	2.665
168	9	11.5	34		928.442.401	0.24797953	193.721.117	2.778
169	13.7	12.2	34	0.31245337	669.121.430		149.546.708	2.946
170	13.5	12	34	0.44648775	786.365.667		157.456.749	3.232
171	9.5	11.3	34	0.34300256	697.263.111		140.486.230	3.022
172	8.7	11.2	35	0.34792908	840.643.114	0.31871464	368.415.534	2.655
173	23	15	34					1.118
174	24	17	34					0.83
175		19	33					0.46
176	23.5	18.3		0.857251761	2.337330274	0.069182486	0.625133203	0.52
177	26.5	13.5	34	0.45992612	2.53344865	0.09660993	0.57640175	0.609
178	28.3	11	34	0.18212627	6.61638308		1.21387498	1.016
179	25.5			0.86768967	7.05001699	0.33053471	2.40520795	1.601
180	28.5	13.5	34	0.69743456	6.32002733	0.19483969	2.94348612	1.941
181	23.5	11	34	0.75950658	5.57384693	0.20614744	1.79758424	2.479
