	bio_1	bio_2	bio_3	bio_4	bio_5	bio_6	bio_7	bio_8
884	18.3	16	34		2.1538272		1.26792339	0.717
885	19.7	15.4	35	1.41213507	8.60383916	0.21881931	1.64276403	1.021
886	15.8	15		0.645455514	8.220016333	0.188656596	3.358025986	1.842
887	18.4	16.5	34	0.084449949	4.182439674	0.102966376	3.360362375	1.776
888	19.3	16	34	0.516553675	5.138416332	0.116435804	0.92503873	2.504
889	17	16.5	34		2.47836526			2.902
890	23.4	15.8		0.64088392	314.520.666	0.08225597	0.20502392	0.859
891	24	13.6	34		929.448.892	0.35865647	479.394.157	0.767
892	16.5	15	37	0.45541467	747.316.924		340.940.811	0.687
893	12.8	14.8	35		560.788.915	0.22233358	194.980.151	1.902
894	13.3	14.2	34		335.568.200			2.096
895								
896	15	15	34	0.59246255	473.112.511	0.29340584	335.872.437	3.596
897	12	14.8	34	0.34422829	425.226.139	0.06827934	107.608.610	3.427
898	16	14.9	35	0.56071625	460.514.160		0.77871442	2.764
899	15	15	34	0.21646576	747.205.437	0.37307113	403.130.774	1.998
900	15.7	15	34	0.26956796	568.920.077		0.62883643	2.221
901								
902	13	14.3	34	101.936.349	1.096.390.997	0.56482964	2.238.246.012	0.855
903	13.5	14.2	34	0.50139971	802.320.554	0.32011347	643.173.978	0.605
904	15	14	34	0.72139918	682.555.397	0.32735032	224.926.414	0.872
905								
906	11.7	13	34	0.27584549	1.026.670.677	0.46426078	400.626.666	1.505
907	12.8	13.1	34	0.61959417	925.552.032	0.42029521	342.771.250	1.673
908	10	11.8	35	113.919.458	1.403.286.008	0.67735015	653.670.004	2.665
909	9	11.5	34		928.442.401	0.24797953	193.721.117	2.778
910	13.7	12.2	34	0.31245337	669.121.430		149.546.708	2.946
911	13.5	12	34	0.44648775	786.365.667		157.456.749	3.232
912	9.5	11.3	34	0.34300256	697.263.111		140.486.230	3.022
913	8.7	11.2	35	0.34792908	840.643.114	0.31871464	368.415.534	2.655
914	18.3	16	34		2.1538272		1.26792339	0.717
915	21.3	16.2	34	0.20511208	5.66787229		8.75177184	0.43
916	21.3	16.2	34	0.20511208	5.66787229		8.75177184	0.43
917	19.7	15.4	35	1.41213507	8.60383916	0.21881931	1.64276403	1.021
918	15.8	15		0.645455514	8.220016333	0.188656596	3.358025986	1.842
919	18.4	16.5	34	0.084449949	4.182439674	0.102966376	3.360362375	1.776
920	19.3	16	34	0.516553675	5.138416332	0.116435804	0.92503873	2.504
921	17	16.5	34		2.47836526			2.902
922	16.8	16.3	35		4.55118337		0.80323694	2.907
923	24.5	16.1	34	0.12065417	5.68874843		0.9802817	2.61
924	21.8	16.8	34	0.10839159	5.75379553	0.2120795	2.4233697	2.512
925	23	15.8	35	0.103145444	3.432459875	0.081593557	0.369492772	2.636
926	24.5	15.4	34		388.553.437	0.1362162	1.380.458.067	2.506
927	23.4	15.8		0.64088392	314.520.666	0.08225597	0.20502392	0.859
928	20.5	16.6	34		491.676.702		398.961.658	0.7
929	24	13.6	34		929.448.892	0.35865647	479.394.157	0.767
930	16.5	15	37	0.45541467	747.316.924		340.940.811	0.687
931	12.8	14.8	35		560.788.915	0.22233358	194.980.151	1.902
932	13.3	14.2	34		335.568.200			2.096
933								
934	15	15	34	0.59246255	473.112.511	0.29340584	335.872.437	3.596
935	12	14.8	34	0.34422829	425.226.139	0.06827934	107.608.610	3.427
936	16	14.9	35	0.56071625	460.514.160		0.77871442	2.764
937	15	15	34	0.21646576	747.205.437	0.37307113	403.130.774	1.998
938	15.7	15	34	0.26956796	568.920.077		0.62883643	2.221
939								
940	13	14.3	34	101.936.349	1.096.390.997	0.56482964	2.238.246.012	0.855
941	13.5	14.2	34	0.50139971	802.320.554	0.32011347	643.173.978	0.605
942	15	14	34	0.72139918	682.555.397	0.32735032	224.926.414	0.872
943								
944	11.7	13	34	0.27584549	1.026.670.677	0.46426078	400.626.666	1.505
945	12.8	13.1	34	0.61959417	925.552.032	0.42029521	342.771.250	1.673
946	10	11.8	35	113.919.458	1.403.286.008	0.67735015	653.670.004	2.665
947	9	11.5	34		928.442.401	0.24797953	193.721.117	2.778
948	13.7	12.2	34	0.31245337	669.121.430		149.546.708	2.946
949	13.5	12	34	0.44648775	786.365.667		157.456.749	3.232
950	9.5	11.3	34	0.34300256	697.263.111		140.486.230	3.022
951	8.7	11.2	35	0.34792908	840.643.114	0.31871464	368.415.534	2.655
952	23.5	18.3		0.857251761	2.337330274	0.069182486	0.625133203	0.52
953	23	18.5	34	1.39859995	2.11237865		0.63125864	0.302
954	26.8	18	34	0.60610945	4.21971346			0.3
955	21.5	17.8	34	0.13728068	4.57914812		1.47610915	0.166
956	30.5	14.5	34	0.13651523	4.99604763	0.16272107	2.41098874	0.533
957	25.5	18.8	34	0.14743555	2.76116774			1.851
958	20.3	19.3	34	0.65253609	3.88623984	0.07189082	6.67253515	2.456
959	19.5	18.8	34	0.07227133	4.24216682		7.36478308	2.813
960			34		3.02969798		1.24992589	2.996
961	17.8		34	0.27492393	4.21989787	0.05520231		2.847
962			32	0.47109591	5.21808205	0.28624272	1.72108027	2.833
963	31	20.8	34	0.47165878	6.42046635	0.17623048	2.14191335	0.749
964	24.5	15.3	34		9.81178629			2.988
965	22.3	15.3		0.22017042	7.85634114	0.2110399	2.07571329	3.232
966	24.5	14	35	0.44662338	9.79259867	0.4957588	6.28316885	3.544
967	22	16	34		3.62048097			3.225
968	18.3	14.5	34	0.13557029	9.17461814	0.20596462	11.97060512	2.311
969	16.6	15.3	34	0.73863394	4.09706819		2.22328082	0.908
970	18.3	16	34		2.1538272		1.26792339	0.717
971	21.3	16.2	34	0.20511208	5.66787229		8.75177184	0.43
972	21.3	16.2	34	0.20511208	5.66787229		8.75177184	0.43
973	19.7	15.4	35	1.41213507	8.60383916	0.21881931	1.64276403	1.021
974	15.8	15		0.645455514	8.220016333	0.188656596	3.358025986	1.842
975	18.4	16.5	34	0.084449949	4.182439674	0.102966376	3.360362375	1.776
976	19.3	16	34	0.516553675	5.138416332	0.116435804	0.92503873	2.504
977	17	16.5	34		2.47836526			2.902
978	16.8	16.3	35		4.55118337		0.80323694	2.907
979	24.5	16.1	34	0.12065417	5.68874843		0.9802817	2.61
980	21.8	16.8	34	0.10839159	5.75379553	0.2120795	2.4233697	2.512
981	23	15.8	35	0.103145444	3.432459875	0.081593557	0.369492772	2.636
982	24.5	15.4	34		388.553.437	0.1362162	1.380.458.067	2.506
983	19.5	15.6	34		368.516.943		0.39649923	1.56
984	16	16.1	34		192.760.767		0.64420558	1.417
985	23.5	16.1	34		308.472.192	0.06192189	0.2512548	1.629
986	23.4	15.8		0.64088392	314.520.666	0.08225597	0.20502392	0.859
987	20.5	16.6	34		491.676.702		398.961.658	0.7
988	24	13.6	34		929.448.892	0.35865647	479.394.157	0.767
989	16.5	15	37	0.45541467	747.316.924		340.940.811	0.687
990	12.8	14.8	35		560.788.915	0.22233358	194.980.151	1.902
991	13.3	14.2	34		335.568.200			2.096
992								
993	15	15	34	0.59246255	473.112.511	0.29340584	335.872.437	3.596
994	12	14.8	34	0.34422829	425.226.139	0.06827934	107.608.610	3.427
995	16	14.9	35	0.56071625	460.514.160		0.77871442	2.764
996	15	15	34	0.21646576	747.205.437	0.37307113	403.130.774	1.998
997	13.5	14.2	34	0.50139971	802.320.554	0.32011347	643.173.978	0.605
998								
999	11.7	13	34	0.27584549	1.026.670.677	0.46426078	400.626.666	1.505
1000	12.8	13.1	34	0.61959417	925.552.032	0.42029521	342.771.250	1.673
1001	10	11.8	35	113.919.458	1.403.286.008	0.67735015	653.670.004	2.665
1002	9	11.5	34		928.442.401	0.24797953	193.721.117	2.778
1003	13.7	12.2	34	0.31245337	669.121.430		149.546.708	2.946
1004	13.5	12	34	0.44648775	786.365.667		157.456.749	3.232
1005	9.5	11.3	34	0.34300256	697.263.111		140.486.230	3.022
1006	18.3	16	34		2.1538272		1.26792339	0.717
1007	21.3	16.2	34	0.20511208	5.66787229		8.75177184	0.43
1008	17	16.5	34		2.47836526			
1009	16.8	16.3	35		4.55118337		0.80323694	
1010	23	15.8	35	0.103145444	3.432459875	0.081593557	0.369492772	2.636
1011	23.4	15.8		0.64088392	314.520.666	0.08225597	0.20502392	0.859
1012	24	13.6	34		929.448.892	0.35865647	479.394.157	0.767
1013	12.8	14.8	35		560.788.915	0.22233358	194.980.151	1.902
1014	13.3	14.2	34		335.568.200			2.096
1015	15	15	34	0.59246255	473.112.511	0.29340584	335.872.437	3.596
1016	12	14.8	34	0.34422829	425.226.139	0.06827934	107.608.610	3.427
1017	16	14.9	35	0.56071625	460.514.160		0.77871442	2.764
1018	15	15	34	0.21646576	747.205.437	0.37307113	403.130.774	1.998
1019	15.7	15	34	0.26956796	568.920.077		0.62883643	2.221
1020								
1021	13	14.3	34	101.936.349	1.096.390.997	0.56482964	2.238.246.012	0.855
1022	13.5	14.2	34	0.50139971	802.320.554	0.32011347	643.173.978	0.605
1023	15	14	34	0.72139918	682.555.397	0.32735032	224.926.414	0.872
1024								
1025	11.7	13	34	0.27584549	1.026.670.677	0.46426078	400.626.666	1.505
1026	12.8	13.1	34	0.61959417	925.552.032	0.42029521	342.771.250	1.673
1027	10	11.8	35	113.919.458	1.403.286.008	0.67735015	653.670.004	2.665
1028	9	11.5	34		928.442.401	0.24797953	193.721.117	2.778
1029	13.7	12.2	34	0.31245337	669.121.430		149.546.708	2.946
1030	13.5	12	34	0.44648775	786.365.667		157.456.749	3.232
1031	9.5	11.3	34	0.34300256	697.263.111		140.486.230	3.022
1032	8.7	11.2	35	0.34792908	840.643.114	0.31871464	368.415.534	2.655
1033	24	17	34					0.83
1034	23.5	18.3		0.857251761	2.337330274	0.069182486	0.625133203	0.52
1035	26.5	13.5	34	0.45992612	2.53344865	0.09660993	0.57640175	0.609
1036	28.5	13.5	34	0.69743456	6.32002733	0.19483969	2.94348612	1.941
1037	23.5	11	34	0.75950658	5.57384693	0.20614744	1.79758424	2.479
1038	26.5	11	34	0.37917359	4.44770123	0.24337135	1.75748877	2.899
1039	26.5	12.8	34		4.10791588			3.13
1040	25.5	13.8		0.21565437	3.99431553	0.10142842	0.31993432	2.477
1041	21.5	19.8		0.663421426	2.891279198	0.106077048	0.346832485	1.36
1042	21.5	17.8	34	0.13728068	4.57914812		1.47610915	0.166
1043	30.5	14.5	34	0.13651523	4.99604763	0.16272107	2.41098874	0.533
1044	21.5	16.5	34	0.52505727	3.45161568		5.10852963	1.104
1045	25.5	18.8	34	0.14743555	2.76116774			1.851
1046	20.3	19.3	34	0.65253609	3.88623984	0.07189082	6.67253515	2.456
1047	19.5	18.8	34	0.07227133	4.24216682		7.36478308	2.813
1048			34		3.02969798		1.24992589	2.996
1049	17.8		34	0.27492393	4.21989787	0.05520231		2.847
1050	23	17.8	34	0.22274232	7.12065515	0.2551114	3.91188988	1.848
1051	21.3	17.8	34		8.44858475		1.24735746	1.601
1052	23	18	34		7.18331736	0.07581914	0.88218234	1.54
1053	28.3	20	34		8.70254607	0.08373814	2.35319588	0.92
1054	27.5	20		0.67201408	8.38006167		1.26698903	0.707
1055	31	20.8	34	0.47165878	6.42046635	0.17623048	2.14191335	0.749
1056	24.8	16.8	34	0.57099117	8.13923172	0.1207861	0.78493458	1.556
1057	24.5	15.3	34		9.81178629			2.988
1058	22.3	15.3		0.22017042	7.85634114	0.2110399	2.07571329	3.232
1059	22	16	34		3.62048097			3.225
1060	18.3	16	34		2.1538272		1.26792339	0.717
1061	21.3	16.2	34	0.20511208	5.66787229		8.75177184	0.43
1062	19.7	15.4	35	1.41213507	8.60383916	0.21881931	1.64276403	1.021
1063	15.8	15		0.645455514	8.220016333	0.188656596	3.358025986	1.842
1064	18.4	16.5	34	0.084449949	4.182439674	0.102966376	3.360362375	1.776
1065	21.8	16.8	34	0.10839159	5.75379553	0.2120795	2.4233697	2.512
1066	23	15.8	35	0.103145444	3.432459875	0.081593557	0.369492772	2.636
1067	24.5	15.4	34		388.553.437	0.1362162	1.380.458.067	2.506
1068	19.5	15.6	34		368.516.943		0.39649923	1.56
1069	16	16.1	34		192.760.767		0.64420558	1.417
1070	23.5	16.1	34		308.472.192	0.06192189	0.2512548	1.629
1071	23.4	15.8		0.64088392	314.520.666	0.08225597	0.20502392	0.859
1072	16.5	15	37	0.45541467	747.316.924		340.940.811	0.687
1073	12.8	14.8	35		560.788.915	0.22233358	194.980.151	1.902
1074	13.3	14.2	34		335.568.200			2.096
1075								
1076	15	15	34	0.59246255	473.112.511	0.29340584	335.872.437	3.596
1077	12	14.8	34	0.34422829	425.226.139	0.06827934	107.608.610	3.427
1078	16	14.9	35	0.56071625	460.514.160		0.77871442	2.764
1079	15	15	34	0.21646576	747.205.437	0.37307113	403.130.774	1.998
1080	15.7	15	34	0.26956796	568.920.077		0.62883643	2.221
1081								
1082	13	14.3	34	101.936.349	1.096.390.997	0.56482964	2.238.246.012	0.855
1083	13.5	14.2	34	0.50139971	802.320.554	0.32011347	643.173.978	0.605
1084	15	14	34	0.72139918	682.555.397	0.32735032	224.926.414	0.872
1085								
1086	11.7	13	34	0.27584549	1.026.670.677	0.46426078	400.626.666	1.505
1087	12.8	13.1	34	0.61959417	925.552.032	0.42029521	342.771.250	1.673
1088	10	11.8	35	113.919.458	1.403.286.008	0.67735015	653.670.004	2.665
1089	9	11.5	34		928.442.401	0.24797953	193.721.117	2.778
1090	13.7	12.2	34	0.31245337	669.121.430		149.546.708	2.946
1091	9.5	11.3	34	0.34300256	697.263.111		140.486.230	3.022
1092	8.7	11.2	35	0.34792908	840.643.114	0.31871464	368.415.534	2.655
1093	20.3	19.3	34	0.65253609	3.88623984	0.07189082	6.67253515	2.456
1094	19.5	18.8	34	0.07227133	4.24216682		7.36478308	2.813
1095	17.8		34	0.27492393	4.21989787	0.05520231		2.847
1096			32	0.47109591	5.21808205	0.28624272	1.72108027	2.833
1097	23	17.8	34	0.22274232	7.12065515	0.2551114	3.91188988	1.848
1098	21.3	17.8	34		8.44858475		1.24735746	1.601
1099	23	18	34		7.18331736	0.07581914	0.88218234	1.54
1100	28.9	18.6	34	0.3042622	9.6138788	0.16589333	5.33803892	1.34
1101	28.3	20	34		8.70254607	0.08373814	2.35319588	0.92
1102	31.8	20	34	0.40162698	8.29204861	0.15707403	1.63700583	0.816
1103	27.5	20		0.67201408	8.38006167		1.26698903	0.707
1104	31	20.8	34	0.47165878	6.42046635	0.17623048	2.14191335	0.749
1105	24.8	16.8	34	0.57099117	8.13923172	0.1207861	0.78493458	1.556
1106	22.8	16	34	1.3294906	9.55889026	0.22767358	2.85282762	2.279
1107	24.5	15.3	34		9.81178629			2.988
1108	22.3	15.3		0.22017042	7.85634114	0.2110399	2.07571329	3.232
1109	18.3	16	34		2.1538272		1.26792339	0.717
1110	21.3	16.2	34	0.20511208	5.66787229		8.75177184	0.43
1111	21.3	16.2	34	0.20511208	5.66787229		8.75177184	0.43
1112	19.7	15.4	35	1.41213507	8.60383916	0.21881931	1.64276403	1.021
1113	15.8	15		0.645455514	8.220016333	0.188656596	3.358025986	1.842
1114	18.4	16.5	34	0.084449949	4.182439674	0.102966376	3.360362375	1.776
1115	19.3	16	34	0.516553675	5.138416332	0.116435804	0.92503873	2.504
1116	17	16.5	34		2.47836526			2.902
1117	16.8	16.3	35		4.55118337		0.80323694	2.907
1118	24.5	16.1	34	0.12065417	5.68874843		0.9802817	2.61
1119	21.8	16.8	34	0.10839159	5.75379553	0.2120795	2.4233697	2.512
1120	23	15.8	35	0.103145444	3.432459875	0.081593557	0.369492772	2.636
1121	16	16.1	34		192.760.767		0.64420558	1.417
1122	23.4	15.8		0.64088392	314.520.666	0.08225597	0.20502392	0.859
1123	16.5	15	37	0.45541467	747.316.924		340.940.811	0.687
1124	12.8	14.8	35		560.788.915	0.22233358	194.980.151	1.902
1125	13.3	14.2	34		335.568.200			2.096
1126	12	14.8	34	0.34422829	425.226.139	0.06827934	107.608.610	3.427
1127	16	14.9	35	0.56071625	460.514.160		0.77871442	2.764
1128	15	15	34	0.21646576	747.205.437	0.37307113	403.130.774	1.998
1129								
1130	13	14.3	34	101.936.349	1.096.390.997	0.56482964	2.238.246.012	0.855
1131	13.5	14.2	34	0.50139971	802.320.554	0.32011347	643.173.978	0.605
1132	15	14	34	0.72139918	682.555.397	0.32735032	224.926.414	0.872
1133								
1134	11.7	13	34	0.27584549	1.026.670.677	0.46426078	400.626.666	1.505
1135	12.8	13.1	34	0.61959417	925.552.032	0.42029521	342.771.250	1.673
1136	10	11.8	35	113.919.458	1.403.286.008	0.67735015	653.670.004	2.665
1137	9	11.5	34		928.442.401	0.24797953	193.721.117	2.778
1138	13.7	12.2	34	0.31245337	669.121.430		149.546.708	2.946
1139	13.5	12	34	0.44648775	786.365.667		157.456.749	3.232
1140	9.5	11.3	34	0.34300256	697.263.111		140.486.230	3.022
1141	8.7	11.2	35	0.34792908	840.643.114	0.31871464	368.415.534	2.655
1142								2.605
1143	17	16.5	34		2.47836526			2.902
1144	16.8	16.3	35		4.55118337		0.80323694	2.907
1145	24.5	16.1	34	0.12065417	5.68874843		0.9802817	2.61
1146	21.8	16.8	34	0.10839159	5.75379553	0.2120795	2.4233697	2.512
1147	23	15.8	35	0.103145444	3.432459875	0.081593557	0.369492772	2.636
1148	24.5	15.4	34		388.553.437	0.1362162	1.380.458.067	2.506
1149	19.5	15.6	34		368.516.943		0.39649923	1.56
1150	16	16.1	34		192.760.767		0.64420558	1.417
1151	23.5	16.1	34		308.472.192	0.06192189	0.2512548	1.629
1152	23.4	15.8		0.64088392	314.520.666	0.08225597	0.20502392	0.859
1153	20.5	16.6	34		491.676.702		398.961.658	0.7
1154	24	13.6	34		929.448.892	0.35865647	479.394.157	0.767
1155	16.5	15	37	0.45541467	747.316.924		340.940.811	0.687
1156	12.8	14.8	35		560.788.915	0.22233358	194.980.151	1.902
1157	13.3	14.2	34		335.568.200			2.096
1158	15	15	34	0.59246255	473.112.511	0.29340584	335.872.437	3.596
1159	15	15	34	0.21646576	747.205.437	0.37307113	403.130.774	1.998
1160	15.7	15	34	0.26956796	568.920.077		0.62883643	2.221
1161								
1162	13.5	14.2	34	0.50139971	802.320.554	0.32011347	643.173.978	0.605
1163								
1164	11.7	13	34	0.27584549	1.026.670.677	0.46426078	400.626.666	1.505
1165	10	11.8	35	113.919.458	1.403.286.008	0.67735015	653.670.004	2.665
1166	9	11.5	34		928.442.401	0.24797953	193.721.117	2.778
1167	13.7	12.2	34	0.31245337	669.121.430		149.546.708	2.946
1168	 	11.3	34	0.34300256	697.263.111		140.486.230	3.022
1169	8.7	11.2	35	0.34792908	840.643.114	0.31871464	368.415.534	2.655
