	X071017.C1D2	X071017.C2D1	X071017.C2D3	X071817.C1D2	X071817.C2D1	X072617.C1D1	X072617.C1D2	X072617.C1D3	X072617.C2D1	X072617.C2D2	X080317.C1D1	X080317.C1D2	X080317.C1D3	X080317.C2D1	X081817.C1D1	X081817.C1D2	X081817.C1D3	X081817.C2D1	X082417.C1D1	X082417.C1D2	X082417.C1D3	X082417.C2D1	X083017.C1D1	X083017.C1D2	X083017.C1D3	X083017.C2D1
Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Gymnodiniales; Gymnodiniaceae; Gymnodinium; Gymnodinium_dorsalisulcum	0	3.8046E-05	0	0.000137627	0	7.61692E-05	8.70268E-05	0	0.000164584	1.13746E-05	0	0	1.23341E-05	0	5.50485E-05	0	0	0.000156406	2.25513E-05	8.09323E-05	6.42426E-05	0	3.74563E-05	8.23778E-05	5.91203E-05	0.000115774
Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Gymnodiniales; Gymnodiniaceae; Gymnodinium; Gymnodinium_smaydae	9.04548E-05	0	0	4.12882E-05	2.77416E-05	2.53897E-05	2.48648E-05	0	7.54344E-05	2.27492E-05	0	0	0	2.52851E-05	0	0	0	1.04271E-05	0	4.04662E-05	8.03032E-06	0	2.80923E-05	4.94267E-05	4.92669E-05	2.63123E-05
Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Gymnodiniales; Gymnodiniaceae; Gymnodinium; Gymnodinium_sp.	0	0	0	0	0	0	9.94592E-05	0	1.37154E-05	1.13746E-05	0	5.9577E-05	0	0	1.10097E-05	0	3.04535E-05	4.17084E-05	0	0	0	0	7.49127E-05	0	9.85338E-06	5.26247E-06
Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Gymnodiniales; Gymnodiniaceae; Gyrodinium; Gyrodinium_dominans	0.396440605	0.338000304	0.111196499	0.010308285	0.032096984	0.019753212	0.029054516	0.031257983	0.026559778	0.02083831	0.002612163	0.074262735	0.042527998	0.014665352	0.151922844	0.292884781	0.053323994	0.074720554	0.446470721	0.241502104	0.20467686	0.426939006	0.048946072	0.096200738	0.14399732	0.065454545
Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Gymnodiniales; Gymnodiniaceae; Gyrodinium; Gyrodinium_fusiforme	0.001922164	0.000266322	0.000893963	0.000344068	0.000638056	0.000431625	0.00067135	0.00029196	0.00115209	0.000921344	0.001099858	0.000476616	0.000875722	0.000783838	0.000209184	0.000179134	0.000350215	0.000239823	0.000172893	8.09323E-05	0.000361365	3.76506E-05	0.000196646	0.000362462	0.000118241	0.000221024
Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Gymnodiniales; Gymnodiniaceae; Gyrodinium; Gyrodinium_rubrum	0	0	0	0	2.77416E-05	0	1.24324E-05	1.82475E-05	6.85768E-06	0	0	2.97885E-05	4.93364E-05	7.58553E-05	0	3.58269E-05	6.09069E-05	1.04271E-05	3.75855E-05	8.09323E-05	5.62123E-05	2.8238E-05	0	0	2.95601E-05	1.57874E-05
Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Gymnodiniales; Gymnodiniaceae; Gyrodinium; Gyrodinium_sp.	0	3.8046E-05	0	0	2.77416E-05	0.000101559	3.72972E-05	1.82475E-05	6.85768E-06	1.13746E-05	4.58274E-05	0	1.23341E-05	2.52851E-05	1.10097E-05	0	3.04535E-05	1.04271E-05	2.25513E-05	4.04662E-05	2.4091E-05	2.8238E-05	5.61845E-05	1.64756E-05	2.95601E-05	3.68373E-05
Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Gymnodiniales; Gymnodiniaceae; Gyrodinium; Gyrodinium_spirale	0	0	0	1.37627E-05	0	5.07795E-05	0	0	2.0573E-05	6.82477E-05	0	0	2.46682E-05	5.05702E-05	0	3.58269E-05	0	0	0	0	0	9.41265E-06	8.42768E-05	0	0	4.73622E-05
Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Gymnodiniales; Gymnodiniaceae; Paragymnodinium; Paragymnodinium_shiwhaense	4.52274E-05	0	1.56836E-05	0.000206441	0	0.00091403	0.000783241	0.000109485	0.000912071	0.000477734	0	0	0	0.00010114	0	3.58269E-05	0	0	0	8.09323E-05	0	9.41265E-06	0.000852132	0.000790826	0.000798124	0.001226154
Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Gymnodiniales; Gymnodiniaceae; Polykrikos; Polykrikos_geminatus	0	0	0	1.37627E-05	2.77416E-05	0	0	0	0	0	0	0	0	0	0	0	0	3.12813E-05	0.000270616	0	0	0	0	0	9.85338E-06	0
Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Gymnodiniales; Gymnodiniaceae; Polykrikos; Polykrikos_schwartzii	0	0	0	0	0	0	0	0	6.85768E-06	0	0	0	0	0.000353991	5.50485E-05	0	7.61336E-05	0.000333667	0.000210479	0.000323729	0.000120455	0	0.001292244	0.000543693	0.000315308	0.00042626
Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Gymnodiniales; Gymnodiniales_X; Levanderina; Levanderina_fissa	0	0	0	0	0	7.61692E-05	3.72972E-05	9.12375E-05	2.0573E-05	2.27492E-05	0	2.97885E-05	8.63387E-05	5.05702E-05	9.90873E-05	3.58269E-05	1.52267E-05	9.38438E-05	3.00684E-05	0.000121399	0	2.8238E-05	0	4.94267E-05	0	1.05249E-05
Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Gymnodiniales; Kareniaceae; Karlodinium; Karlodinium_sp.	0	0	0	5.50509E-05	8.32247E-05	0.000152338	3.72972E-05	0	0.000123438	0.000136495	4.58274E-05	8.93655E-05	0.000111007	0.000126425	4.40388E-05	0.000107481	4.56802E-05	9.38438E-05	3.75855E-05	4.04662E-05	8.03032E-06	0	3.74563E-05	3.29511E-05	2.95601E-05	8.94619E-05
Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Gymnodiniales; Kareniaceae; Karlodinium; Karlodinium_veneficum	2.26137E-05	0	0	0.001871731	0.000832247	0.002538973	0.004003232	0.002353929	0.003175104	0.002627538	0.006003391	0.002293715	0.000394691	0.004677742	0.001607416	0.002866151	0.000395895	0.001167835	0.000413441	0.00052606	0.000104394	3.76506E-05	0.00066485	0.000955582	0.000512376	0.002452309
Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Peridiniales; Amphidomataceae; Azadinium; Azadinium_spinosum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.04535E-05	1.04271E-05	0.000165376	0.000202331	7.22729E-05	0.000131777	0	0	2.95601E-05	0
Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Peridiniales; Heterocapsaceae; Heterocapsa; Heterocapsa_cf._niei	0.040591574	0.045845381	0.024764354	0.287723644	0.162787472	0.391788961	0.360887673	0.168023065	0.460924963	0.476710459	0.284450758	0.138397379	0.313458977	0.172039748	0.088793227	0.180961594	0.062307763	0.047120037	0.047365256	0.047466818	0.036168573	0.044935994	0.066204081	0.077632793	0.075141889	0.14749112
Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Peridiniales; Heterocapsaceae; Heterocapsa; Heterocapsa_pygmaea	0	0.000114138	0	0.000137627	8.32247E-05	0.000660133	0.000696214	0.000200723	0.001227524	0.000636979	0.000274964	0.000119154	0.000111007	0.000252851	6.60582E-05	7.16538E-05	1.52267E-05	3.12813E-05	6.01368E-05	0.000202331	8.03032E-05	2.8238E-05	4.68204E-05	0.000164756	7.88271E-05	3.15748E-05
Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Peridiniales; Heterocapsaceae; Heterocapsa; Heterocapsa_sp.	0	0	0	4.12882E-05	2.77416E-05	7.61692E-05	4.97296E-05	0.00014598	0.000109723	9.0997E-05	9.16548E-05	0	4.93364E-05	2.52851E-05	0	7.16538E-05	0	0	3.00684E-05	0	8.03032E-06	0	2.80923E-05	0	0	2.63123E-05
Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Peridiniales; Kryptoperidiniaceae; Durinskia; Durinskia_dybowskii	0	0	6.27343E-05	0	2.77416E-05	0	0	1.82475E-05	6.85768E-06	0	0	5.9577E-05	0.000370023	0	0	0	0.000228401	0	3.75855E-05	0.000364196	0.000112425	0.000536521	9.36408E-06	0	0.000295601	0
Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Peridiniales; Kryptoperidiniaceae; Durinskia; Durinskia_sp.	0.001402049	0.00178816	0.00109785	0.001555189	0.003301246	0.005077946	0.003219991	0.00945221	0.0014744	0.009031451	0.010127858	0.023503128	0.103199467	0.005259299	0.000649572	0.005947263	0.01199866	0.000239823	0.010787041	0.008052768	0.006873956	0.01907003	0.001769812	0.01136813	0.009547927	0.013193001
