Sample ID	Month	Depth
081618-C2D3-plate3-wellE8	August	3
082018-C1D1-plate3-wellE9	August	1
082018-C1D2-plate3-wellE11	August	2
082018-C1D3-plate3-wellF1	August	3
082018-C2D1-plate3-wellE10	August	1
082018-C2D2-plate3-wellE12	August	2
082018-C2D3-plate3-wellF2	August	3
082318-C1D1-plate3-wellF3	August	1
082318-C1D2-plate3-wellF5	August	2
082318-C1D3-plate3-wellF7	August	3
082318-C2D1-plate3-wellF4	August	1
082318-C2D2-plate3-wellF6	August	2
082318-C2D3-plate3-wellF8	August	3
082918-C1D1-plate3-wellF9	August	1
082918-C1D2-plate3-wellF11	August	2
082918-C1D3-plate3-wellG1	August	3
082918-C2D1-plate3-wellF10	August	1
082918-C2D2-plate3-wellF12	August	2
082918-C2D3-plate3-wellG2	August	3
083118-C1D1-plate3-wellG3	August	1
083118-C1D2-plate3-wellG5	August	2
083118-C1D3-plate3-wellG7	August	3
083118-C2D1-plate3-wellG4	August	1
083118-C2D2-plate3-wellG6	August	2
083118-C2D3-plate3-wellG8	August	3
090418-C1D1-plate3-wellG9	September	1
090418-C1D2-plate3-wellG11	September	2
090418-C1D3-plate3-wellH1	September	3
090418-C2D1-plate3-wellG10	September	1
090418-C2D2-plate3-wellG12	September	2
090418-C2D3-plate3-wellH2	September	3
090718-C1D1-plate3-wellH3	September	1
090718-C1D2-plate3-wellH5	September	2
090718-C1D3-plate3-wellH7	September	3
090718-C2D1-plate3-wellH4	September	1
090718-C2D2-plate3-wellH6	September	2
090718-C2D3-plate3-wellH8	September	3
091218-C1D1-plate3-wellH9	September	1
091218-C1D2-plate3-wellH11	September	2
091218-C1D3-plate4-wellA1	September	3
091218-C2D1-plate3-wellH10	September	1
091218-C2D2-plate3-wellH12	September	2
091218-C2D3-plate4-wellA2	September	3
091418-C1D1-plate4-wellA3	September	1
091418-C1D2-plate4-wellA5	September	2
091418-C1D3-plate4-wellA7	September	3
091418-C2D1-plate4-wellA4	September	1
091418-C2D2-plate4-wellA6	September	2
091418-C2D3-plate4-wellA8	September	3
091718-C1D1-plate4-wellA9	September	1
091718-C1D2-plate4-wellA11	September	2
091718-C1D3-plate4-wellB1	September	3
091718-C2D1-plate4-wellA10	September	1
091718-C2D2-plate4-wellA12	September	2
091718-C2D3-plate4-wellB2	September	3
092018-C1D1-plate4-wellB3	September	1
092018-C1D2-plate4-wellB5	September	2
092018-C1D3-plate4-wellB7	September	3
092018-C2D1-plate4-wellB4	September	1
092018-C2D2-plate4-wellB6	September	2
092018-C2D3-plate4-wellB8	September	3
092418-C1D1-plate4-wellB9	September	1
092418-C1D2-plate4-wellB11	September	2
092418-C1D3-plate4-wellC1	September	3
092418-C2D1-plate4-wellB10	September	1
092418-C2D2-plate4-wellB12	September	2
092418-C2D3-plate4-wellC2	September	3
092818-C1D1-plate4-wellC3	September	1
092818-C1D2-plate4-wellC5	September	2
092818-C1D3-plate4-wellC7	September	3
092818-C2D1-plate4-wellC4	September	1
092818-C2D2-plate4-wellC6	September	2
092818-C2D3-plate4-wellC8	September	3
100118-C1D1-plate4-wellC9	October	1
100118-C1D2-plate4-wellC11	October	2
100118-C1D3-plate4-wellD1	October	3
100118-C2D1-plate4-wellC10	October	1
100118-C2D2-plate4-wellC12	October	2
