Cluster 1 ASV_ID	Cluster 1 Taxonomy	Cluster 2 ASV_ID	Cluster 2 Taxonomy	Cluster 3 ASV_ID	Cluster 3 Taxonomy	Cluster 4 ASV_ID	Cluster 4 Taxonomy	Cluster 5 ASV_ID	Cluster 5 Taxonomy
388	Eukaryota;Opisthokonta;Choanoflagellida;Choanoflagellatea;Craspedida;Monosigidae-GroupM	526	Eukaryota;Rhizaria;Cercozoa;Filosa-Chlorarachnea;NPK2-lineage			601	Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Radial-centric-basal-Coscinodiscophyceae		
429	Eukaryota;Opisthokonta;Mesomycetozoa;Ichthyosporea;Ichthyosphonida;Abeoformidae-GroupMAIP1	532	Eukaryota;Rhizaria;Cercozoa;Filosa-Granofilosea;he2-lineage			625	Eukaryota;Stramenopiles;Ochrophyta;Bolidophyceae;Parmales;Parmales-env2;Parmales-env2		
430	Eukaryota;Opisthokonta;Mesomycetozoa;Ichthyosporea;Ichthyosphonida;Abeoformidae-GroupMAIP2	561	Eukaryota;Rhizaria;Cercozoa;Filosa-Thecofilosea;Cryomonadida			626	Eukaryota;Stramenopiles;Ochrophyta;Bolidophyceae;Parmales;Parmales-env3;Parmales-env3A		
439	Eukaryota;Opisthokonta;Metazoa;Annelida	695	Eukaryota;Stramenopiles;Labyrinthulea;Labyrinthulales;Labyrinthulaceae;Oblongichytrium			628	Eukaryota;Stramenopiles;Ochrophyta;Bolidophyceae;Parmales;Triparmaceae;Triparma		
444	Eukaryota;Opisthokonta;Metazoa;Annelida;Pectinaria	706	Eukaryota;Stramenopiles;MAST;MAST-1;MAST-1A			637	Eukaryota;Stramenopiles;Ochrophyta;Chrysophyceae;Chrysophyceae-Clade-C		
456	Eukaryota;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda;Acartia	708	Eukaryota;Stramenopiles;MAST;MAST-1;MAST-1C			647	Eukaryota;Stramenopiles;Ochrophyta;Chrysophyceae;Chrysophyceae-Clade-H		
459	Eukaryota;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda;Cyclopina	718	Eukaryota;Stramenopiles;MAST;MAST-2;MAST-2D			648	Eukaryota;Stramenopiles;Ochrophyta;Chrysophyceae;Chrysophyceae-Clade-I		
479	Eukaryota;Opisthokonta;Metazoa;Mollusca;Bivalvia;Heteroconchia;Gemma	727	Eukaryota;Stramenopiles;MAST;MAST-7;MAST-7A			653	Eukaryota;Stramenopiles;Ochrophyta;Dictyochophyceae;Florenciellales		
481	Eukaryota;Opisthokonta;Metazoa;Mollusca;Bivalvia;Heteroconchia;Mulinia	603	Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Radial-centric-basal-Coscinodiscophyceae;Melosira			654	Eukaryota;Stramenopiles;Ochrophyta;Dictyochophyceae;Pedinellales		
484	Eukaryota;Opisthokonta;Metazoa;Mollusca;Bivalvia;Ostreoida;Crassostrea	613	Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Raphid-pennate;Cymbella			656	Eukaryota;Stramenopiles;Ochrophyta;Dictyochophyceae;Pedinellales		
487	Eukaryota;Opisthokonta;Metazoa;Mollusca;Gastropoda;Heterobranchia	623	Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Raphid-pennate;Stauroneis			675	Eukaryota;Stramenopiles;Ochrophyta;Xanthophyceae		
489	Eukaryota;Opisthokonta;Metazoa;Myxozoa;Myxosporea;Ellipsomyxa	641	Eukaryota;Stramenopiles;Ochrophyta;Chrysophyceae;Chrysophyceae-Clade-C;Spumella			748	Eukaryota;Stramenopiles;Pirsonia-Clade		
522	Eukaryota;Rhizaria;Cercozoa;Endomyxa;Vampyrellida;Thalassomyxa	650	Eukaryota;Stramenopiles;Ochrophyta;Dictyochophyceae						
541	Eukaryota;Rhizaria;Cercozoa;Filosa-Imbricatea;Euglyphida;Paulinellidae;Paulinella	669	Eukaryota;Stramenopiles;Ochrophyta;Phaeophyceae;Ectocarpus						
545	Eukaryota;Rhizaria;Cercozoa;Filosa-Imbricatea;Marimonadida	736	Eukaryota;Stramenopiles;Oomycota;Haliphthorales;Halocrusticida						
564	Eukaryota;Rhizaria;Cercozoa;Filosa-Thecofilosea;Cryomonadida;Protaspa-lineage;Protaspa								
569	Eukaryota;Rhizaria;Cercozoa;Filosa-Thecofilosea;Ebriida;Botuliformidae								
572	Eukaryota;Rhizaria;Cercozoa;Filosa-Thecofilosea;Ebriida;TAGIRI1-lineage;TAGIRI1-lineage								
574	Eukaryota;Rhizaria;Cercozoa;Filosa-Thecofilosea;Filosa-Thecofilosea;Mataza-lineage;Mataza								
583	Eukaryota;Stramenopiles;Ochrophyta								
585	Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Araphid-pennate								
594	Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Polar-centric-Mediophyceae;Cyclotella								
610	Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Raphid-pennate;Berkeleya								
612	Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Raphid-pennate;Cylindrotheca								
618	Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Raphid-pennate;Nitzschia								
627	Eukaryota;Stramenopiles;Ochrophyta;Bolidophyceae;Parmales								
645	Eukaryota;Stramenopiles;Ochrophyta;Chrysophyceae;Chrysophyceae-Clade-F;Paraphysomonas								
631	Eukaryota;Stramenopiles;Ochrophyta;Chrysophyceae;Chrysophyceae-CladeC;Ochromonas								
636	Eukaryota;Stramenopiles;Ochrophyta;Chrysophyceae;ChrysophyceaeClade-C;Chrysolepidomonas								
644	Eukaryota;Stramenopiles;Ochrophyta;Chrysophyceae;ChrysophyceaeClade-F								
646	Eukaryota;Stramenopiles;Ochrophyta;Chrysophyceae;ChrysophyceaeClade-G								
663	Eukaryota;Stramenopiles;Ochrophyta;Eustigmatophyceae;Nannochloropsis								
665	Eukaryota;Stramenopiles;Ochrophyta;Pelagophyceae								
670	Eukaryota;Stramenopiles;Ochrophyta;Raphidophyceae								
677	Eukaryota;Stramenopiles;Stramenopiles								
678	Eukaryota;Stramenopiles;Stramenopiles;Bicoecea								
682	Eukaryota;Stramenopiles;Stramenopiles;Bicoecea;Bicoecales;Bicoecaceae								
684	Eukaryota;Stramenopiles;Stramenopiles;Bicoecea;Bicoecales;Bicoecaceae;Bicosoeca								
685	Eukaryota;Stramenopiles;Stramenopiles;Bicoecea;Bicoecales;Bicoecaceae;Halocafeteria								
702	Eukaryota;Stramenopiles;Stramenopiles;Labyrinthulea;Thraustochytriales;Thraustochytriaceae								
710	Eukaryota;Stramenopiles;Stramenopiles;MAST;MAST-12								
712	Eukaryota;Stramenopiles;Stramenopiles;MAST;MAST-12;MAST-12A								
715	Eukaryota;Stramenopiles;Stramenopiles;MAST;MAST-12;MAST-12D								
723	Eukaryota;Stramenopiles;Stramenopiles;MAST;MAST-3;MAST-3J								
724	Eukaryota;Stramenopiles;Stramenopiles;MAST;MAST-4;MAST-4D								
726	Eukaryota;Stramenopiles;Stramenopiles;MAST;MAST-6								
732	Eukaryota;Stramenopiles;Stramenopiles;MOCH;MOCH-5								
733	Eukaryota;Stramenopiles;Stramenopiles;Oomycota								
742	Eukaryota;Stramenopiles;Stramenopiles;Oomycota;Peronosporales								
